NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
32;1392;ESCOLA ESTADUAL ORÔNCIO MURGEL DUTRA;RUA SÃO LUIZ, 401;3284;9
33;1058;COLÉGIO TIRADENTES POLÍCIA MILITAR - UNIDADE PRADO;RUA DOS PAMPAS, 767;3861;31
33;1066;COLÉGIO NOSSA SENHORA DO MONTE CALVÁRIO;AV. DO CONTORNO, 9384;2178;15
33;1090;ESCOLA ESTADUAL PROF CAETANO AZEREDO;RUA DOS GUAJAJARAS, 1827;1957;5
33;1112;ESCOLA ESTADUAL FRANCISCO SALES;RUA DOS GUAJAJARAS , 1887;757;8
33;1120;INSTITUTO SAO RAFAEL;AV. AUGUSTO DE LIMA, 2109;430;2
33;1163;ESCOLA ESTADUAL CESARIO ALVIM;RUA RIO GRANDE DO SUL, S/N;2097;31
33;1198;EMEI DELFIM MOREIRA;RUA ESPÍRITO SANTO, 890;1660;18
33;1244;CLARETIANO COLÉGIO;RUA DOS AIMORÉS, 1583;3487;59
33;1252;ESCOLA ESTADUAL AFONSO PENA;AV. JOAO PINHEIRO, 450;3073;38
33;1309;COLÉGIO SANTO AGOSTINHO;AV. AMAZONAS, 1803;3331;38
33;1333;COLÉGIO PIO XII;AV. DO CONTORNO, 8902;2342;27
33;1350;INSTITUTO METODISTA IZABELA HENDRIX;RUA DA BAHIA, 2020;3629;49
33;1376;ESCOLA ESTADUAL GOVERNADOR MILTON CAMPOS - UNIDADE I;RUA FERNANDES TOURINHO 1020;6018;60
33;1422;COLÉGIO SANTO ANTÔNIO;RUA PERNAMBUCO, 880;4315;58
33;1457;ESCOLA ESTADUAL BARÃO DO RIO BRANCO;AVENIDA GETÚLIO VARGAS 1059;3526;41
33;1473;COLÉGIO ARNALDO;PRAÇA JOÃO PESSOA, 200;4589;58
33;1481;INSTITUTO DE EDUCAÇÃO DE MINAS GERAIS;RUA PERNAMBUCO 47;3007;36
33;1490;CENTRO CULTURAL DA UFMG;AV. SANTOS DUMONT, 174;1098;6
33;1511;ESCOLA ESTADUAL BARÃO DE MACAÚBAS;RUA DAVID CAMPISTA, 42;1580;17
33;1520;COLÉGIO NOSSA SENHORA DAS DORES;AV. FRANCISCO SALES, 77;1294;11
33;1562;COLÉGIO NOSSA SENHORA DA PIEDADE;RUA MONSENHOR DOMINGOS PINHEIRO, 35;1941;14
33;1570;ESCOLA POLITÉCNICA DE MINAS GERAIS - POLIMIG;RUA PLATINA, 1407;1912;19
33;1597;ESCOLA ESTADUAL OLEGARIO MACIEL;AV. OLEGARIO MACIEL, 422;1028;6
33;1600;SERVICO NACIONAL DO COMERCIO - SENAC;RUA DOS TUPINAMBAS, 1038;729;7
33;1619;ESCOLA ESTADUAL PANDIÁ CALÓGERAS;PRAÇA CARLOS CHAGAS 35;2565;28
331;1015;ESCOLA ESTADUAL PROF. GUILHERME AZEVEDO LAGE;RUA MARICÁ, 285;4115;12
331;1031;ESCOLA ESTADUAL PROF. ANTONIO JOSE RIBEIRO FILHO;RUA AMARAJI, 182;4730;26
331;1040;ESCOLA MUNICIPAL AGENOR ALVES DE CARVALHO;RUA AGENOR ALVES, S/N;3666;9
331;1058;ESCOLA ESTADUAL BOLIVAR TINOCO MINEIRO;RUA DIVINO ESPÍRITO SANTO, 40;4462;2
331;1066;ESCOLA MUNICIPAL SECRETARIO HUMBERTO ALMEIDA;RUA AREIA BRANCA, 03;3046;13
331;1074;ESCOLA MUNICIPAL PROFESSORA ACIDALIA LOTT;RUA SÃO RODRIGUES, 10;5483;14
331;1082;ESCOLA MUNICIPAL CONSUELITA CANDIDA;RUA DOM SILVÉRIO GOMES PIMENTA, 301;2976;7
331;1090;ESCOLA MUNICIPAL GOVERNADOR OZANAN COELHO;RUA ÂNGELA BENAREGES, 14;2148;11
331;1104;ESCOLA ESTADUAL ANTONIO CLEMENTE;RUA DR. BENEDITO XAVIER   , 1975;1949;8
331;1112;ESCOLA ESTADUAL CELMAR BOTELHO DUARTE;RUA BELO ORIENTE, 845;1792;9
331;1120;ESCOLA MUNICIPAL CONSUL ANTONIO CADAR;RUA RIO PARNAÍBA, 30;3651;8
331;1147;ESCOLA ESTADUAL DONATO WERNECK DE FREITAS;RUA ALCIDES DE SOUZA, 112;2184;5
331;1155;ESCOLA MUNICIPAL JOSEFINA SOUZA LIMA;RUA MARIA ORTIZ, 195;2607;12
331;1163;ESCOLA  ESTADUAL PROF. ALBERTO MAZONI ANDRADE;RUA TOBIAS MOSCOSO ,170;1715;4
331;1171;ESCOLA ESTADUAL PROFESSOR HILTON ROCHA;AV. CRISTIANO MACHADO, 7800;1404;4
331;1180;ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES;RUA FURQUIM WERNECK, 313;2391;15
331;1198;ESCOLA MUNICIPAL  HELIO PELLEGRINO;RUA GUILHERME SOARES, 255;2267;18
331;1201;ESCOLA MUNICIPAL HERBERT JOSE DE SOUZA;AV. DETETIVE EDUARDO FERNANDES, 320 (ANTIGA AV. UM);2459;6
331;1210;ESCOLA MUNICIPAL PROFESSSORA  MARIA MAZARELLO;RUA BENEDITO NEVES, 45;2471;13
331;1228;ESCOLA MUNICIPAL OSWALDO FRANÇA JUNIOR;RUA CIRCULAR, 335;1209;10
331;1236;ESCOLA MUNICIPAL MURILO RUBIÃO;RUA DOUTOR ADILSON ROCHA FACURY, 10;2335;14
331;1260;PUC - PONTIFÍCIA UNIVERSIDADE CATÓLICA - UNIDADE SÃO GABRIEL;RUA WALTER IANNI - 255;2993;9
331;1279;ESCOLA MUNICIPAL PROFESSOR PAULO FREIRE;RUA PAULO CAMPOS MENDES  N 311;492;1
332;1015;ESCOLA ESTADUAL NOSSA SENHORA DO BELO RAMO;RUA SEBASTIÃO DE BARROS, 151;1224;8
332;1023;ESCOLA ESTADUAL NOSSA SENHORA APARECIDA;RUA PAULO ARBEX, 25;2427;11
332;1058;NEWTON PAIVA - UNIDADE SILVA LOBO;AVENIDA SILVA LOBO, 1.730;5001;40
332;1066;CEFET-CAMPUS I;AV. AMAZONAS, 5253;5178;51
332;1074;ESCOLA ESTADUAL MAURÍCIO MURGEL;AV. AMAZONAS, 5154;3410;40
332;1082;ESCOLA ESTADUAL AMÉLIA JOSEFINA KEESEN;RUA HERCULANO PENA ,598;1512;17
332;1090;ESCOLA ESTADUAL OLÍMPIA RESENDE PEREIRA;RUA LINDOLFO DEODORO, 84;2823;17
332;1104;ESCOLA MUNICIPAL DEPUTADO MILTON SALES - ENTRADA RUA TEÓFILO FILHO,222;RUA TEÓFILO FILHO, 222;2294;12
332;1112;ESCOLA MUNICIPAL OSVALDO CRUZ -EMOC;RUA SANTOS, 2200;2944;11
332;1120;ESCOLA ESTADUAL ALZIRA ALBUQUERQUE MOSQUEIRA;RUA PROFESSOR CÍCERO PEREIRA, 69;1331;4
332;1139;ESCOLA ESTADUAL CÂNDIDO PORTINARI;RUA CAMPINA VERDE S/N;4968;30
332;1147;ESCOLA ESTADUAL JOSÉ MENDES CORREIA;RUA CARMELITA PRATES DA SILVA, 682;2062;14
332;1155;ESCOLA ESTADUAL MANUEL CASASSANTA;RUA GUILHERMINO ESTEVAO NASCIMENTO, 150;2847;7
332;1163;ESCOLA MUNICIPAL FRANCISCA DE PAULA;RUA JÚLIO DE CASTILHO, 330;4205;22
